# 1:iteration 2:time[d] 
# 3-29:bolometric luminosity in k-th angular bin [erg/s]
   0    0.1250000  1.62023e+39  1.47631e+39  1.35909e+39  1.28013e+39  1.21194e+39  1.16501e+39  1.15839e+39  1.14775e+39  1.16154e+39  1.18330e+39  1.20333e+39  1.21861e+39  1.23819e+39  1.24435e+39  1.24397e+39  1.23203e+39  1.23534e+39  1.22182e+39  1.21789e+39  1.20981e+39  1.21413e+39  1.24264e+39  1.39277e+39  1.75812e+39  2.32367e+39  3.10434e+39  3.92064e+39 
   1    0.1277371  1.69403e+39  1.54955e+39  1.42011e+39  1.34797e+39  1.27600e+39  1.23004e+39  1.21815e+39  1.22315e+39  1.22252e+39  1.23339e+39  1.25429e+39  1.27388e+39  1.30274e+39  1.31178e+39  1.30423e+39  1.28788e+39  1.29019e+39  1.28236e+39  1.28441e+39  1.27032e+39  1.27813e+39  1.32061e+39  1.49461e+39  1.86594e+39  2.46523e+39  3.27739e+39  4.11347e+39 
   2    0.1305342  1.77977e+39  1.61724e+39  1.49185e+39  1.40321e+39  1.33243e+39  1.29394e+39  1.27735e+39  1.27976e+39  1.28592e+39  1.28871e+39  1.31856e+39  1.32704e+39  1.35188e+39  1.36125e+39  1.35884e+39  1.34707e+39  1.34355e+39  1.34768e+39  1.33865e+39  1.33344e+39  1.35922e+39  1.40444e+39  1.56634e+39  1.97420e+39  2.58984e+39  3.44386e+39  4.30433e+39 
   3    0.1333926  1.85240e+39  1.68057e+39  1.56308e+39  1.46391e+39  1.39577e+39  1.35253e+39  1.32981e+39  1.34145e+39  1.32801e+39  1.34687e+39  1.38057e+39  1.39438e+39  1.40014e+39  1.41799e+39  1.40655e+39  1.41459e+39  1.40723e+39  1.40497e+39  1.38996e+39  1.39127e+39  1.42486e+39  1.49092e+39  1.65527e+39  2.07337e+39  2.71308e+39  3.60234e+39  4.51798e+39 
   4    0.1363135  1.93147e+39  1.75692e+39  1.62546e+39  1.53413e+39  1.45446e+39  1.40332e+39  1.39327e+39  1.38811e+39  1.39632e+39  1.39534e+39  1.42040e+39  1.45123e+39  1.45903e+39  1.46774e+39  1.47677e+39  1.46742e+39  1.45194e+39  1.44843e+39  1.44879e+39  1.47072e+39  1.49368e+39  1.55210e+39  1.72952e+39  2.17335e+39  2.84461e+39  3.75475e+39  4.68487e+39 
   5    0.1392983  1.99297e+39  1.81673e+39  1.68771e+39  1.58409e+39  1.50662e+39  1.46920e+39  1.45068e+39  1.43388e+39  1.44307e+39  1.44508e+39  1.46196e+39  1.50921e+39  1.51185e+39  1.53386e+39  1.53067e+39  1.51870e+39  1.49224e+39  1.49882e+39  1.50210e+39  1.52550e+39  1.55450e+39  1.62058e+39  1.80024e+39  2.26219e+39  2.96060e+39  3.91157e+39  4.88890e+39 
   6    0.1423486  2.06095e+39  1.87916e+39  1.73557e+39  1.63894e+39  1.56116e+39  1.51255e+39  1.49621e+39  1.49881e+39  1.48459e+39  1.50127e+39  1.52015e+39  1.55295e+39  1.56380e+39  1.57415e+39  1.58578e+39  1.55758e+39  1.54618e+39  1.55318e+39  1.55405e+39  1.58612e+39  1.62413e+39  1.68735e+39  1.88353e+39  2.35854e+39  3.08523e+39  4.05196e+39  5.05135e+39 
   7    0.1454656  2.13209e+39  1.94868e+39  1.80017e+39  1.68790e+39  1.61792e+39  1.57333e+39  1.55094e+39  1.55650e+39  1.54562e+39  1.56670e+39  1.57889e+39  1.59506e+39  1.61627e+39  1.62633e+39  1.63312e+39  1.62270e+39  1.60424e+39  1.61324e+39  1.59985e+39  1.63369e+39  1.69128e+39  1.75170e+39  1.96570e+39  2.43605e+39  3.19667e+39  4.19131e+39  5.22645e+39 
   8    0.1486509  2.19147e+39  1.99349e+39  1.85978e+39  1.73254e+39  1.65829e+39  1.61033e+39  1.60434e+39  1.59478e+39  1.60427e+39  1.61707e+39  1.63831e+39  1.64202e+39  1.66330e+39  1.67358e+39  1.68455e+39  1.67231e+39  1.66876e+39  1.66468e+39  1.65935e+39  1.69527e+39  1.75051e+39  1.83028e+39  2.04067e+39  2.50929e+39  3.30986e+39  4.35134e+39  5.42975e+39 
   9    0.1519059  2.26431e+39  2.03707e+39  1.91161e+39  1.79307e+39  1.70727e+39  1.66280e+39  1.65183e+39  1.65328e+39  1.64404e+39  1.67946e+39  1.68536e+39  1.70107e+39  1.73222e+39  1.73054e+39  1.73887e+39  1.71691e+39  1.71491e+39  1.70480e+39  1.71063e+39  1.75259e+39  1.81199e+39  1.88325e+39  2.10157e+39  2.61912e+39  3.42260e+39  4.52444e+39  5.60891e+39 
